year,zone_name,population,growth_rate_pct
2000,Harris County (all watersheds),3400578,
2001,Harris County (all watersheds),3467106,
2002,Harris County (all watersheds),3533635,
2003,Harris County (all watersheds),3600163,
2004,Harris County (all watersheds),3666691,
2005,Harris County (all watersheds),3733220,
2006,Harris County (all watersheds),3799748,
2007,Harris County (all watersheds),3866276,
2008,Harris County (all watersheds),3932805,
2009,Harris County (all watersheds),3999333,
2010,Harris County (all watersheds),4065862,
2011,Harris County (all watersheds),4132390,
2012,Harris County (all watersheds),4198918,
2013,Harris County (all watersheds),4265447,
2014,Harris County (all watersheds),4331975,
2015,Harris County (all watersheds),4398503,
2016,Harris County (all watersheds),4465032,
2017,Harris County (all watersheds),4531560,
2018,Harris County (all watersheds),4598088,
2019,Harris County (all watersheds),4664617,
2020,Harris County (all watersheds),4731145,
2021,Harris County (all watersheds),4793921,
2022,Harris County (all watersheds),4856697,
2023,Harris County (all watersheds),4919474,
2024,Harris County (all watersheds),4982250,
2025,Harris County (all watersheds),5045026,
